ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Genus,Family
nuukingh,N|Uuki,,-29.716666666666665,19.083333333333332,nuuu1241,ngh,Tuu,Tuu
hoanhuc,=|Hoan,,-25.5,25.0,hoaa1235,huc,=|Hoan,Kxa
juhoanknw,Ju|'hoan,,-19.0,21.0,kung1261,knw,Ju-Kung,Kxa
koranakqz,Korana,,-29.5,20.5,kora1292,kqz,Khoe-Kwadi,Khoe-Kwadi
namanaq,Nama,,-25.5,18.0,nama1264,naq,Khoe-Kwadi,Khoe-Kwadi
anihnh,//Ani,,-18.916666666666668,21.916666666666668,anii1246,hnh,Khoe-Kwadi,Khoe-Kwadi
sandawesad,Sandawe,,-5.0,35.0,sand1273,sad,Sandawe,Sandawe
zuluzul,Zulu,,-30.0,30.0,zulu1248,zul,Bantoid,Niger-Congo
rongarng,Ronga,,-26.0,32.5,rong1268,rng,Bantoid,Niger-Congo
chichewanya,Chichewa,,-14.0,34.0,nyan1308,nya,Bantoid,Niger-Congo
lambalam,Lamba,,-13.0,28.0,lamb1271,lam,Bantoid,Niger-Congo
nyakyusanyy,Nyakyusa,,-9.333333333333334,33.75,nyak1260,nyy,Bantoid,Niger-Congo
kikuyukik,Kikuyu,,-0.75,36.75,kiku1240,kik,Bantoid,Niger-Congo
digodig,Digo,,-4.333333333333333,39.416666666666664,digo1243,dig,Bantoid,Niger-Congo
maorecomorianswb,Maore Comorian,,-12.0,44.333333333333336,maor1244,swb,Bantoid,Niger-Congo
nyamwezinym,Nyamwezi,,-5.0,33.0,nyam1276,nym,Bantoid,Niger-Congo
kagulukki,Kagulu,,-6.333333333333333,37.0,kagu1239,kki,Bantoid,Niger-Congo
swahiliswh,Swahili,,-6.5,39.0,swah1253,swh,Bantoid,Niger-Congo
benatanzaniabez,Bena (Tanzania),,-9.25,35.0,bena1262,bez,Bantoid,Niger-Congo
nkorekigacgg,Nkore-Kiga,,-0.9166666666666666,29.833333333333332,chig1238,cgg,Bantoid,Niger-Congo
runyankorenyn,Runyankore,,-0.5,30.5,nyan1307,nyn,Bantoid,Niger-Congo
hayahay,Haya,,-2.0,31.5,haya1250,hay,Bantoid,Niger-Congo
kifuliiruflr,Kifuliiru,,-3.0,29.0,fuli1240,flr,Bantoid,Niger-Congo
bembebmb,Bembe,,-4.25,28.666666666666668,bemb1255,bmb,Bantoid,Niger-Congo
ndumunmd,Ndumu,,-1.6666666666666665,13.583333333333334,ndum1239,nmd,Bantoid,Niger-Congo
nzadi,Nzadi,,-3.5,19.0,nzad1234,,Bantoid,Niger-Congo
luvaleluv,Luvale,,-12.0,22.0,luwa1238,luv,Bantoid,Niger-Congo
lundalun,Lunda,,-10.666666666666666,24.0,lund1266,lun,Bantoid,Niger-Congo
kwangalikwn,Kwangali,,-18.0,19.5,kwan1273,kwn,Bantoid,Niger-Congo
tunentvu,Tunen,,4.75,10.666666666666666,tune1261,tvu,Bantoid,Niger-Congo
akoosebss,Akoose,,5.083333333333333,9.666666666666666,akoo1248,bss,Bantoid,Niger-Congo
bakueribri,Bakueri,,4.25,9.25,mokp1239,bri,Bantoid,Niger-Congo
etoneto,Eton,,4.25,11.416666666666666,eton1253,eto,Bantoid,Niger-Congo
kakokkj,Kako,,4.416666666666667,14.416666666666666,kako1242,kkj,Bantoid,Niger-Congo
kenyangken,Kenyang,,5.666666666666667,9.5,keny1279,ken,Bantoid,Niger-Congo
aghemagq,Aghem,,6.666666666666667,10.0,aghe1239,agq,Bantoid,Niger-Congo
mmenbfm,Mmen,,6.45,10.2,mmen1238,bfm,Bantoid,Niger-Congo
babungobav,Babungo,,6.116666666666666,10.416666666666666,veng1238,bav,Bantoid,Niger-Congo
mundanimnf,Mundani,,5.666666666666667,9.916666666666666,mund1327,mnf,Bantoid,Niger-Congo
mungbammij,Mungbam,,6.583333333333333,10.25,abar1238,mij,Bantoid,Niger-Congo
nchanencr,Nchane,,6.5,10.5,ncan1245,ncr,Bantoid,Niger-Congo
tikartik,Tikar,,5.833333333333333,11.666666666666666,tika1246,tik,Bantoid,Niger-Congo
nupenup,Nupe,,9.166666666666666,5.416666666666667,nupe1254,nup,Nupoid,Niger-Congo
gwarigbr,Gwari,,9.5,7.0,gbag1258,gbr,Nupoid,Niger-Congo
yorubayor,Yoruba,,8.0,4.333333333333333,yoru1245,yor,Defoid,Niger-Congo
igedeige,Igede,,7.0,8.166666666666666,iged1239,ige,Idomoid,Niger-Congo
engennienn,Engenni,,5.166666666666667,6.383333333333334,enge1239,enn,Edoid,Niger-Congo
igboibo,Igbo,,6.0,7.333333333333333,nucl1417,ibo,Igboid,Niger-Congo
ikaikk,Iká,,6.366666666666666,6.283333333333333,ikaa1238,ikk,Igboid,Niger-Congo
kutebkub,Kuteb,,7.166666666666667,10.166666666666666,kute1248,kub,Jukunoid,Niger-Congo
jukunjbu,Jukun,,6.916666666666667,10.416666666666666,juku1254,jbu,Jukunoid,Niger-Congo
migilimgi,Migili,,8.5,8.666666666666666,liji1238,mgi,Platoid,Niger-Congo
birombom,Birom,,9.666666666666666,8.833333333333334,bero1242,bom,Platoid,Niger-Congo
fyempym,Fyem,,9.583333333333334,9.333333333333334,fyam1238,pym,Platoid,Niger-Congo
ikaankcf,Ikaan,,7.583333333333333,6.0,ukaa1243,kcf,Ukaan,Niger-Congo
ogbronuagumogu,Ogbronuagum,,4.75,6.866666666666667,ogbr1243,ogu,Cross River,Niger-Congo
oboloann,Obolo,,4.583333333333333,7.833333333333333,obol1243,ann,Cross River,Niger-Congo
kanaogo,Kana,,4.75,7.416666666666667,khan1278,ogo,Cross River,Niger-Congo
efikefi,Efik,,4.916666666666667,8.5,efik1245,efi,Cross River,Niger-Congo
ibibioibb,Ibibio,,5.25,7.833333333333333,ibib1240,ibb,Cross River,Niger-Congo
leggboagb,Leggbó,,6.0,8.0,legb1242,agb,Cross River,Niger-Congo
dukadud,Duka,,11.166666666666666,5.083333333333333,huns1239,dud,Kainji,Niger-Congo
amoamo,Amo,,10.333333333333334,8.666666666666666,amoo1242,amo,Kainji,Niger-Congo
semesif,Seme,,11.0,-4.916666666666667,siam1242,sif,Kru,Niger-Congo
akanaka,Akan,,6.5,-1.25,akan1250,aka,Kwa,Niger-Congo
anufocko,Anufo,,10.083333333333334,0.25,anuf1239,cko,Kwa,Niger-Congo
bauletul,Baule,,7.0,-5.0,tula1252,tul,Kwa,Niger-Congo
nkonyanko,Nkonya,,7.166666666666667,0.25,nkon1248,nko,Kwa,Niger-Congo
chumburungncu,Chumburung,,7.75,0.25,chum1261,ncu,Kwa,Niger-Congo
ebrieebr,Ebrie,,5.333333333333333,-4.0,ebri1238,ebr,Kwa,Niger-Congo
seleesnw,Selee,,7.166666666666667,0.4166666666666667,sele1249,snw,Kwa,Niger-Congo
logbalgq,Logba,,6.916666666666667,0.38333333333333336,logb1245,lgq,Kwa,Niger-Congo
igoahl,Igo,,7.25,0.5833333333333334,igoo1238,ahl,Kwa,Niger-Congo
tafitcd,Tafi,,6.8,0.4,tafi1243,tcd,Kwa,Niger-Congo
eweewe,Ewe,,6.333333333333333,0.4166666666666667,ewee1241,ewe,Kwa,Niger-Congo
fongbefon,Fongbe,,6.416666666666667,2.1666666666666665,fonn1241,fon,Kwa,Niger-Congo
gungbeguw,Gungbe,,6.5,2.5,gunn1250,guw,Kwa,Niger-Congo
adioukrouadj,Adioukrou,,5.416666666666667,-4.583333333333333,adio1239,adj,Kwa,Niger-Congo
nanergesen,Nanerge,,11.75,-5.0,nane1238,sen,Senufo,Niger-Congo
supyirespp,Supyire,,11.5,-5.583333333333333,supy1237,spp,Senufo,Niger-Congo
gbeyabossangoagbp,Gbeya Bossangoa,,6.666666666666667,17.5,gbay1287,gbp,Gbaya-Manza-Ngbaka,Niger-Congo
mbodomogmm,Mbodomo,,4.5,15.5,gbay1281,gmm,Gbaya-Manza-Ngbaka,Niger-Congo
ngbandingb,Ngbandi,,3.75,22.0,nort2774,ngb,Ubangi,Niger-Congo
sangosag,Sango,,5.0,18.0,sang1328,sag,Ubangi,Niger-Congo
mayogomdm,Mayogo,,2.8333333333333335,27.916666666666668,mayo1261,mdm,Ubangi,Niger-Congo
munzombomoj,Munzombo,,3.0,18.416666666666668,monz1249,moj,Ubangi,Niger-Congo
bakaincameroonbkc,Baka (in Cameroon),,2.5833333333333335,13.583333333333334,baka1272,bkc,Ubangi,Niger-Congo
lindaliy,Linda,,6.5,20.75,band1344,liy,Ubangi,Niger-Congo
zandezne,Zande,,4.0,26.0,zand1248,zne,Ubangi,Niger-Congo
nzakaranzk,Nzakara,,5.0,23.0,nzak1247,nzk,Ubangi,Niger-Congo
barambubrm,Barambu,,3.5,27.0,bara1361,brm,Ubangi,Niger-Congo
dongodoo,Dongo,,3.0,30.0,dong1290,doo,Ubangi,Niger-Congo
diidur,Dii,,8.0,14.0,diii1241,dur,Samba-Duru,Niger-Congo
sambalekondi,Samba Leko,,8.5,12.5,samb1305,ndi,Samba-Duru,Niger-Congo
doyayodow,Doyayo,,8.666666666666666,13.083333333333334,doya1240,dow,Samba-Duru,Niger-Congo
mumuyemzm,Mumuye,,9.0,11.666666666666666,nucl1240,mzm,Mumuye-Yandang,Niger-Congo
mbummdd,Mbum,,7.75,13.166666666666666,mbum1254,mdd,Mbumic,Niger-Congo
mundangmua,Mundang,,9.666666666666666,14.5,mund1325,mua,Mbumic,Niger-Congo
daydai,Day,,8.75,17.833333333333332,dayy1236,dai,Day,Niger-Congo
luanie,Lua,,9.75,17.75,niel1243,nie,Bua,Niger-Congo
kulangonku,Kulango,,9.0,-3.0,boun1243,nku,Kulango-Lorom,Niger-Congo
koromfekfz,Koromfe,,14.25,-0.9166666666666666,koro1298,kfz,Northern-Central Gur,Niger-Congo
mooremos,Mooré,,12.833333333333334,-1.25,moss1236,mos,Northern-Central Gur,Niger-Congo
dagbanidag,Dagbani,,9.583333333333334,-0.5,dagb1246,dag,Northern-Central Gur,Niger-Congo
ngangamgng,Ngangam,,10.166666666666666,0.5,ngan1299,gng,Northern-Central Gur,Niger-Congo
sisaalawesternssl,Sisaala (Western),,10.833333333333334,-2.3333333333333335,west2465,ssl,Southern-Central Gur,Niger-Congo
chakalicli,Chakali,,9.916666666666666,-1.9166666666666665,chak1271,cli,Southern-Central Gur,Niger-Congo
egaega,Ega,,5.5,-5.5,egaa1242,ega,Ega,Niger-Congo
bagasitemubsp,Baga Sitemu,,10.5,-14.5,baga1272,bsp,Mel,Niger-Congo
manibuy,Mani,,9.0,-13.166666666666666,bull1247,buy,Mel,Niger-Congo
kisikiz,Kisi,,8.833333333333334,-10.166666666666666,kisi1243,kiz,Mel,Niger-Congo
fulfuldenigerianfuv,Fulfulde (Nigerian),,10.25,11.25,nige1253,fuv,Peul-Serer,Niger-Congo
fulfuldeadamawafub,Fulfulde (Adamawa),,9.166666666666666,13.5,adam1253,fub,Peul-Serer,Niger-Congo
wolofwof,Wolof,,15.25,-16.0,gamb1252,wof,Wolof,Niger-Congo
ndutndv,Ndut,,14.916666666666666,-16.916666666666668,ndut1239,ndv,Cangin,Niger-Congo
noonsnf,Noon,,14.833333333333334,-16.833333333333332,noon1242,snf,Cangin,Niger-Congo
diolafognydyo,Diola-Fogny,,13.0,-16.25,jola1263,dyo,Bak,Niger-Congo
ijokolokumaijc,Ijo (Kolokuma),,4.916666666666667,5.666666666666667,izon1238,ijc,Ijoid,Ijoid
katlakcr,Katla,,11.75,29.333333333333332,katl1237,kcr,Katla-Tima,Kordofanian
timatms,Tima,,11.666666666666666,29.25,tima1241,tms,Katla-Tima,Kordofanian
otorootr,Otoro,,11.166666666666666,30.5,otor1240,otr,Heiban,Kordofanian
moromor,Moro,,11.0,30.166666666666668,moro1285,mor,Heiban,Kordofanian
masakinjle,Masakin,,10.666666666666666,30.0,ngil1242,jle,Talodi,Kordofanian
dandnj,Dan,,7.5,-8.0,nucl1770,dnj,Eastern Mande,Mande
monamoa,Mona,,7.916666666666667,-5.916666666666667,mwan1250,moa,Eastern Mande,Mande
busabqp,Busa,,9.666666666666666,4.0,busa1253,bqp,Eastern Mande,Mande
bokobqc,Boko,,10.5,3.5,boko1266,bqc,Eastern Mande,Mande
jelijek,Jeli,,9.5,-5.666666666666667,jeri1242,jek,Western Mande,Mande
maninkawesternmlq,Maninka (Western),,13.0,-11.0,west2500,mlq,Western Mande,Mande
mandinkagambianmnk,Mandinka (Gambian),,13.416666666666666,-16.0,mand1436,mnk,Western Mande,Mande
xasongakao,Xasonga,,14.25,-10.5,xaas1235,kao,Western Mande,Mande
maukamxx,Mauka,,8.333333333333334,-7.5,maho1249,mxx,Western Mande,Mande
vaivai,Vai,,6.916666666666667,-11.25,vaii1241,vai,Western Mande,Mande
jalonkeyal,Jalonke,,10.166666666666666,-11.0,yalu1240,yal,Western Mande,Mande
bobomadaresouthernbwq,Bobo Madaré (Southern),,11.5,-4.416666666666667,sout2840,bwq,Western Mande,Mande
dzuungoodnn,Dzùùngoo,,11.416666666666666,-5.0,dzuu1241,dnn,Western Mande,Mande
donnosodds,Donno So,,14.333333333333334,-3.5,donn1239,dds,Dogon,Dogon
jamsaydjm,Jamsay,,14.416666666666666,-2.5,jams1239,djm,Dogon,Dogon
tommosodto,Tommo So,,14.75,-3.25,tomm1242,dto,Dogon,Dogon
katchaxtc,Katcha,,10.833333333333334,29.666666666666668,katc1249,xtc,Kadugli,Kadu
krongokgo,Krongo,,10.5,30.0,kron1241,kgo,Kadugli,Kadu
koyraborosennises,Koyraboro Senni,,16.0,0.0,koyr1242,ses,Songhay,Songhay
zarmadje,Zarma,,13.833333333333334,2.1666666666666665,zarm1239,dje,Songhay,Songhay
koyrachiinikhq,Koyra Chiini,,17.0,-3.0,koyr1240,khq,Songhay,Songhay
tadaksahakdsq,Tadaksahak,,16.666666666666668,2.3333333333333335,tada1238,dsq,Songhay,Songhay
beriazag,Beria,,16.0,23.0,zagh1240,zag,Eastern Saharan,Saharan
kanuriknc,Kanuri,,12.0,13.0,cent2050,knc,Western Saharan,Saharan
tubudzg,Tubu,,16.0,15.0,daza1242,dzg,Western Saharan,Saharan
mabamde,Maba,,13.75,20.833333333333332,maba1277,mde,Maban,Maban
masalitmls,Masalit,,13.333333333333334,22.0,nucl1440,mls,Maban,Maban
rungarou,Runga,,10.333333333333334,21.0,rung1258,rou,Maban,Maban
furfvr,Fur,,13.5,25.0,furr1244,fvr,Fur,Fur
nubiandongolesedgl,Nubian (Dongolese),,21.25,32.0,dong1288,dgl,Nubian,East Sudanic
nubiankunuzxnz,Nubian (Kunuz),,24.0,33.0,kenu1243,xnz,Nubian,East Sudanic
midobmei,Midob,,15.083333333333334,26.25,mido1240,mei,Nubian,East Sudanic
murlemur,Murle,,6.5,33.5,murl1244,mur,Surmic,East Sudanic
baalekoe,Baale,,6.5,34.5,kaci1244,koe,Surmic,East Sudanic
tennettex,Tennet,,4.416666666666667,32.5,tenn1246,tex,Surmic,East Sudanic
majangmpe,Majang,,6.75,35.0,maja1242,mpe,Surmic,East Sudanic
koeguxwg,Koegu,,7.0,36.083333333333336,kweg1241,xwg,Surmic,East Sudanic
mursimuz,Mursi,,5.583333333333333,36.083333333333336,murs1242,muz,Surmic,East Sudanic
gaahmgtbi,Gaahmg,,11.5,34.0,gaam1241,tbi,Eastern Jebel,East Sudanic
nyimangnyi,Nyimang,,12.166666666666666,29.333333333333332,amas1236,nyi,Nyimang,East Sudanic
temeinteq,Temein,,11.916666666666666,29.416666666666668,nucl1339,teq,Temein,East Sudanic
tamatma,Tama,,14.5,22.0,tama1331,tma,Taman,East Sudanic
shattshj,Shatt,,10.833333333333334,30.0,shat1244,shj,Daju,East Sudanic
laggoriliu,Laggori,,11.166666666666666,29.833333333333332,logo1261,liu,Daju,East Sudanic
shillukshk,Shilluk,,9.666666666666666,31.75,shil1265,shk,Nilotic,East Sudanic
anywaanu,Anywa,,8.0,33.5,anua1242,anu,Nilotic,East Sudanic
luoluo,Luo,,-0.5,34.75,luok1236,luo,Nilotic,East Sudanic
langolaj,Lango,,2.1666666666666665,33.0,lang1324,laj,Nilotic,East Sudanic
acholiach,Acholi,,3.0,32.666666666666664,acol1236,ach,Nilotic,East Sudanic
baribfa,Bari,,5.0,31.666666666666668,bari1284,bfa,Nilotic,East Sudanic
maasaimas,Maasai,,-3.0,36.0,masa1300,mas,Nilotic,East Sudanic
camussaq,Camus,,1.3333333333333333,37.0,samb1315,saq,Nilotic,East Sudanic
nyangatomnnj,Nyangatom,,5.416666666666667,35.666666666666664,nyan1315,nnj,Nilotic,East Sudanic
turkanatuv,Turkana,,3.0,35.5,turk1308,tuv,Nilotic,East Sudanic
sebeikpz,Sebei,,1.3333333333333333,34.583333333333336,kups1238,kpz,Nilotic,East Sudanic
pokotpko,Pokot,,1.5,35.5,poko1263,pko,Nilotic,East Sudanic
ikikx,Ik,,3.75,34.166666666666664,ikkk1242,ikx,Kuliak,Kuliak
soteu,So,,2.5833333333333335,34.75,sooo1256,teu,Kuliak,Kuliak
bakainsudanbdh,Baka (in Sudan),,4.833333333333333,29.25,baka1274,bdh,Bongo-Bagirmi,Central Sudanic
ngambaysba,Ngambay,,8.666666666666666,16.0,ngam1268,sba,Bongo-Bagirmi,Central Sudanic
mbaymyb,Mbay,,8.25,17.5,mbay1241,myb,Bongo-Bagirmi,Central Sudanic
karaincentralafricanrepublickah,Kara (in Central African Republic),,10.0,23.0,kara1482,kah,Bongo-Bagirmi,Central Sudanic
yuluyul,Yulu,,8.5,25.25,yulu1243,yul,Bongo-Bagirmi,Central Sudanic
morumgd,Moru,,4.75,29.75,moru1253,mgd,Moru-Ma'di,Central Sudanic
logotilog,Logoti,,3.5,30.0,logo1259,log,Moru-Ma'di,Central Sudanic
lugbaralgg,Lugbara,,3.0833333333333335,30.916666666666668,lugb1240,lgg,Moru-Ma'di,Central Sudanic
madimhi,Ma'di,,3.25,31.5,madi1260,mhi,Moru-Ma'di,Central Sudanic
mamvumdi,Mamvu,,3.25,29.0,mamv1243,mdi,Mangbutu-Efe,Central Sudanic
mangbetumdj,Mangbetu,,2.5,26.5,mang1394,mdj,Mangbetu,Central Sudanic
lenduled,Lendu,,2.0,30.5,lend1245,led,Lendu,Central Sudanic
ngitiniy,Ngiti,,1.3333333333333333,30.25,ngit1239,niy,Lendu,Central Sudanic
kreshkrs,Kresh,,8.5,24.5,gbay1288,krs,Kresh,Central Sudanic
ajaaja,Aja,,7.333333333333333,25.666666666666668,ajas1235,aja,Kresh,Central Sudanic
bertawti,Berta,,10.333333333333334,34.666666666666664,bert1248,wti,Berta,Berta
kunamakun,Kunama,,14.5,37.0,kuna1268,kun,Kunama,Kunama
gwamakmq,Gwama,,9.583333333333334,34.25,kwam1249,kmq,Koman,Koman
aariaiw,Aari,,6.0,36.583333333333336,aari1239,aiw,South Omotic,Afro-Asiatic
dimedim,Dime,,6.166666666666667,36.25,dime1235,dim,South Omotic,Afro-Asiatic
dizimdx,Dizi,,6.166666666666667,36.5,dizi1235,mdx,Dizoid,Afro-Asiatic
northernmaomyf,Northern Mao,,9.833333333333334,34.666666666666664,bamb1262,myf,Mao,Afro-Asiatic
yemsajnj,Yemsa,,7.833333333333333,37.333333333333336,yems1235,jnj,North Omotic,Afro-Asiatic
maalemdy,Maale,,6.0,36.916666666666664,male1284,mdy,North Omotic,Afro-Asiatic
wolayttawal,Wolaytta,,6.833333333333333,37.75,wola1242,wal,North Omotic,Afro-Asiatic
kullodwr,Kullo,,6.583333333333333,37.13333333333333,dawr1236,dwr,North Omotic,Afro-Asiatic
gamogmv,Gamo,,6.666666666666667,37.25,gamo1243,gmv,North Omotic,Afro-Asiatic
kooretekqy,Koorete,,5.75,37.75,koor1239,kqy,North Omotic,Afro-Asiatic
zaysezay,Zayse,,5.916666666666667,37.333333333333336,zays1235,zay,North Omotic,Afro-Asiatic
copticcop,Coptic,,26.0,32.0,copt1239,cop,Egyptian-Coptic,Afro-Asiatic
berbersiwasiz,Berber (Siwa),,29.166666666666668,25.5,siwi1239,siz,Berber,Afro-Asiatic
berbermiddleatlastzm,Berber (Middle Atlas),,33.0,-5.0,cent2194,tzm,Berber,Afro-Asiatic
ghadamesgha,Ghadames,,30.0,10.0,ghad1239,gha,Berber,Afro-Asiatic
berberrifrif,Berber (Rif),,34.5,-4.0,tari1263,rif,Berber,Afro-Asiatic
berberfiguiggrr,Berber (Figuig),,32.5,-1.5,tazn1238,grr,Berber,Afro-Asiatic
tamashektaq,Tamashek,,20.0,-2.0,tama1365,taq,Berber,Afro-Asiatic
masamcn,Masa,,10.5,15.5,masa1322,mcn,Masa,Afro-Asiatic
lelellk,Lele,,9.083333333333334,15.583333333333334,lela1246,llk,East Chadic,Afro-Asiatic
keraker,Kera,,9.833333333333334,15.083333333333334,kera1255,ker,East Chadic,Afro-Asiatic
terattr,Tera,,11.0,11.833333333333334,tera1251,ttr,Biu-Mandara,Afro-Asiatic
margimrt,Margi,,11.0,13.0,marg1265,mrt,Biu-Mandara,Afro-Asiatic
lamanghia,Lamang,,11.25,13.583333333333334,lama1288,hia,Biu-Mandara,Afro-Asiatic
malgwamfi,Malgwa,,11.5,13.75,wand1278,mfi,Biu-Mandara,Afro-Asiatic
uldemeudl,Uldeme,,10.95,14.116666666666667,wuzl1236,udl,Biu-Mandara,Afro-Asiatic
minahna,Mina,,10.333333333333334,13.833333333333334,mina1276,hna,Biu-Mandara,Afro-Asiatic
gudegde,Gude,,10.416666666666666,13.416666666666666,gude1246,gde,Biu-Mandara,Afro-Asiatic
musgumug,Musgu,,10.833333333333334,14.916666666666666,musg1254,mug,Biu-Mandara,Afro-Asiatic
mbarampk,Mbara,,11.0,15.416666666666666,mbar1260,mpk,Biu-Mandara,Afro-Asiatic
budumabdm,Buduma,,13.5,14.5,budu1265,bdm,Biu-Mandara,Afro-Asiatic
zinajia,Zina,,11.333333333333334,15.333333333333334,jina1244,jia,Biu-Mandara,Afro-Asiatic
hausahau,Hausa,,12.0,7.0,haus1257,hau,West Chadic,Afro-Asiatic
peropip,Pero,,9.583333333333334,11.0,pero1241,pip,West Chadic,Afro-Asiatic
goemaiank,Goemai,,8.666666666666666,9.75,goem1240,ank,West Chadic,Afro-Asiatic
ngizimngi,Ngizim,,12.083333333333334,10.916666666666666,ngiz1242,ngi,West Chadic,Afro-Asiatic
paapqa,Pa'a,,11.0,9.25,paaa1242,pqa,West Chadic,Afro-Asiatic
miyamkf,Miya,,10.916666666666666,9.666666666666666,miya1266,mkf,West Chadic,Afro-Asiatic
kemantahg,Kemant,,12.666666666666666,37.416666666666664,qima1242,ahg,Central Cushitic,Afro-Asiatic
sidaamasid,Sidaama,,6.666666666666667,38.5,sida1246,sid,Highland East Cushitic,Afro-Asiatic
qafaraar,Qafar,,12.0,42.0,afar1241,aar,Lowland East Cushitic,Afro-Asiatic
baysobsw,Bayso,,6.25,37.75,bais1246,bsw,Lowland East Cushitic,Afro-Asiatic
rendillerel,Rendille,,2.0,37.5,rend1243,rel,Lowland East Cushitic,Afro-Asiatic
somalisom,Somali,,3.0,45.0,soma1255,som,Lowland East Cushitic,Afro-Asiatic
oromohararhae,Oromo (Harar),,9.0,42.0,east2652,hae,Lowland East Cushitic,Afro-Asiatic
oromowaatassn,Oromo (Waata),,-3.3333333333333335,39.833333333333336,waat1238,ssn,Lowland East Cushitic,Afro-Asiatic
konsokxc,Konso,,5.416666666666667,37.53333333333333,kons1243,kxc,Lowland East Cushitic,Afro-Asiatic
yaakumuu,Yaaku,,0.5,37.0,yaak1241,muu,Yaaku,Afro-Asiatic
dahalodal,Dahalo,,-2.3333333333333335,40.5,daha1245,dal,Dahalo,Afro-Asiatic
iraqwirk,Iraqw,,-4.0,35.5,iraq1241,irk,Southern Cushitic,Afro-Asiatic
burungebds,Burunge,,-5.333333333333333,36.0,buru1320,bds,Southern Cushitic,Afro-Asiatic
chaldeanmoderncld,Chaldean (Modern),,36.0,43.0,chal1275,cld,Semitic,Afro-Asiatic
neoaramaicassyrianaii,Neo-Aramaic (Assyrian),,36.0,41.0,assy1241,aii,Semitic,Afro-Asiatic
mandaicmodernmid,Mandaic (Modern),,31.0,48.5,nucl1706,mid,Semitic,Afro-Asiatic
hebrewmodernheb,Hebrew (Modern),,31.5,34.833333333333336,hebr1245,heb,Semitic,Afro-Asiatic
maltesemlt,Maltese,,35.916666666666664,14.416666666666666,malt1254,mlt,Semitic,Afro-Asiatic
arabiceasternlibyanayl,Arabic (Eastern Libyan),,32.0,22.0,liby1240,ayl,Semitic,Afro-Asiatic
arabicegyptianarz,Arabic (Egyptian),,30.0,31.0,egyp1253,arz,Semitic,Afro-Asiatic
arabicgulfafb,Arabic (Gulf),,26.0,49.0,gulf1241,afb,Semitic,Afro-Asiatic
arabiciraqiacm,Arabic (Iraqi),,33.0,44.0,meso1252,acm,Semitic,Afro-Asiatic
arabicmoroccanary,Arabic (Moroccan),,34.0,-6.0,moro1292,ary,Semitic,Afro-Asiatic
arabicsyrianapc,Arabic (Syrian),,34.0,38.0,nort3139,apc,Semitic,Afro-Asiatic
tigretig,Tigré,,16.5,38.5,tigr1270,tig,Semitic,Afro-Asiatic
amharicamh,Amharic,,10.0,38.0,amha1245,amh,Semitic,Afro-Asiatic
hararihar,Harari,,9.25,42.166666666666664,hara1271,har,Semitic,Afro-Asiatic
chahasgw,Chaha,,8.083333333333334,37.916666666666664,seba1251,sgw,Semitic,Afro-Asiatic
basqueeus,Basque,,43.0,-3.0,basq1248,eus,Basque,Basque
sardiniansro,Sardinian,,40.0,9.0,camp1261,sro,Romance,Indo-European
frenchfra,French,,48.0,2.0,stan1290,fra,Romance,Indo-European
catalancat,Catalan,,41.75,2.0,stan1289,cat,Romance,Indo-European
spanishspa,Spanish,,40.0,-4.0,stan1288,spa,Romance,Indo-European
portuguesepor,Portuguese,,39.0,-8.0,port1283,por,Romance,Indo-European
romanianron,Romanian,,46.0,25.0,roma1327,ron,Romance,Indo-European
irishgle,Irish,,53.0,-8.0,iris1253,gle,Celtic,Indo-European
